semantic_id , semantic_name  , semantic_color_r , semantic_color_g , semantic_color_b
1           , wall           , 174              , 199              , 232             
2           , floor          , 152              , 223              , 138             
3           , cabinet        , 31               , 119              , 180             
4           , bed            , 255              , 187              , 120             
5           , chair          , 188              , 189              , 34              
6           , sofa           , 140              , 86               , 75              
7           , table          , 255              , 152              , 150             
8           , door           , 214              , 39               , 40              
9           , window         , 197              , 176              , 213             
10          , bookshelf      , 148              , 103              , 189             
11          , picture        , 196              , 156              , 148             
12          , counter        , 23               , 190              , 207             
13          , blinds         , 178              , 76               , 76              
14          , desk           , 247              , 182              , 210             
15          , shelves        , 66               , 188              , 102             
16          , curtain        , 219              , 219              , 141             
17          , dresser        , 140              , 57               , 197             
18          , pillow         , 202              , 185              , 52              
19          , mirror         , 51               , 176              , 203             
20          , floormat       , 200              , 54               , 131             
21          , clothes        , 92               , 193              , 61              
22          , ceiling        , 78               , 71               , 183             
23          , books          , 172              , 114              , 82              
24          , refrigerator   , 255              , 127              , 14              
25          , television     , 91               , 163              , 138             
26          , paper          , 153              , 98               , 156             
27          , towel          , 140              , 153              , 101             
28          , showercurtain  , 158              , 218              , 229             
29          , box            , 100              , 125              , 154             
30          , whiteboard     , 178              , 127              , 135             
31          , person         , 120              , 185              , 128             
32          , nightstand     , 146              , 111              , 194             
33          , toilet         , 44               , 160              , 44              
34          , sink           , 112              , 128              , 144             
35          , lamp           , 96               , 207              , 209             
36          , bathtub        , 227              , 119              , 194             
37          , bag            , 213              , 92               , 176             
38          , otherstructure , 94               , 106              , 211             
39          , otherfurniture , 82               , 84               , 163             
40          , otherprop      , 100              , 85               , 144             
